"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
53.30,177703.89,188780.16,319.64,251.52,307.85,116.59,405.98,159.00,565.00,787.61
53.40,56310.80,16056.67,188.64,890.80,188.64,85.15,50.88,-72.08,89.27,126.56
53.40,67518.36,20382.29,224.01,457.19,94.32,-7.86,31.80,33.92,107.35,119.78
53.40,142602.47,140965.16,314.40,11.79,82.53,-14.41,66.78,-5.30,392.11,496.07
53.40,140268.31,123231.70,271.17,195.19,635.35,35.37,525.76,-8.48,449.74,650.88
53.60,91392.21,25393.04,133.62,4023.01,736.22,-36.68,192.92,72.08,46.33,152.55
53.90,121626.96,111931.63,226.63,251.52,413.96,0.00,216.24,-16.96,426.01,403.41
54.30,137350.86,119935.73,210.91,151.96,320.95,69.43,255.46,85.86,448.61,351.43
54.30,58411.08,22372.18,134.93,-49.78,2.62,1.31,38.16,-5.30,27.12,55.37
54.50,83728.20,103520.13,233.18,82.53,503.04,98.25,468.52,66.78,319.79,378.55
54.80,141581.44,164946.02,298.68,231.87,340.60,61.57,454.74,36.04,531.10,624.89
55.20,53431.56,17855.30,390.38,2804.71,8892.28,377.28,613.74,148.40,39.55,214.70
55.30,141575.08,116098.74,157.20,151.96,297.37,96.94,147.34,55.12,474.60,475.73
55.30,140871.64,120988.98,463.74,158.51,356.32,-9.17,269.24,79.50,439.57,603.42
55.30,144118.53,144335.80,280.34,0.00,284.27,83.84,319.06,114.48,344.65,481.38
55.50,124726.42,101506.66,179.47,196.50,150.65,-57.64,318.00,-87.98,316.40,293.80
55.50,76892.27,25993.02,129.69,168.99,75.98,5.24,18.02,-67.84,81.36,131.08
55.70,107018.73,105802.15,107.42,136.24,358.94,-43.23,348.74,24.38,371.77,416.97
55.90,139518.47,145631.39,369.42,199.12,385.14,32.75,171.72,-5.30,525.45,537.88
55.90,130425.75,110114.66,167.68,104.80,15.72,73.36,238.50,-12.72,396.63,411.32
56.00,113738.17,109319.49,189.95,96.94,247.59,5.24,452.62,9.54,400.02,448.61
56.20,53480.70,17709.89,154.58,2242.72,9831.55,529.24,783.34,205.64,93.79,29.38
56.30,137221.64,109529.09,263.31,30.13,161.13,-11.79,290.44,91.16,470.08,435.05
56.80,111255.70,110459.20,141.48,189.95,117.90,11.79,259.70,-3.18,387.59,386.46
56.90,69976.27,23010.15,119.21,206.98,-13.10,28.82,86.92,-66.78,45.20,203.40
57.00,128088.88,124891.46,268.55,103.49,296.06,-10.48,167.48,91.16,448.61,488.16
57.10,123088.42,130178.63,224.01,230.56,239.73,39.30,214.12,51.94,367.25,462.17
57.20,151342.11,153491.39,213.53,351.08,213.53,104.80,286.20,-86.92,400.02,515.28
57.20,68286.40,20667.87,195.19,4011.22,13609.59,514.83,912.66,286.20,84.75,135.60
57.40,122023.73,104327.09,242.35,209.60,234.49,44.54,91.16,-49.82,360.47,340.13
57.80,155200.50,152232.47,146.72,204.36,552.82,62.88,499.26,197.16,510.76,468.95
57.80,115483.55,88455.13,201.74,172.92,407.41,-2.62,222.60,36.04,325.44,362.73
58.50,63382.41,23500.09,107.42,44.54,155.89,-7.86,-1.06,-63.60,56.50,138.99
58.50,107742.18,113428.97,178.16,165.06,246.28,-2.62,177.02,-13.78,410.19,296.06
58.60,139723.22,130956.77,222.70,195.19,133.62,19.65,306.34,19.08,384.20,418.10
59.20,135086.78,138785.33,133.62,248.90,526.62,44.54,296.80,40.28,471.21,466.69
59.30,142670.72,129207.91,148.03,216.15,230.56,5.24,240.62,-57.24,406.80,509.63
59.40,127754.91,149370.13,279.03,212.22,269.86,23.58,362.52,-56.18,533.36,525.45
59.70,158587.53,189277.97,231.87,289.51,352.39,-7.86,421.88,125.08,557.09,569.52
59.90,70523.18,18053.11,372.04,1181.62,296.06,-28.82,115.54,-15.90,59.89,135.60
59.90,144237.73,147414.30,313.09,226.63,196.50,6.55,419.76,124.02,497.20,419.23
60.00,65516.36,21666.09,145.41,18.34,-23.58,37.99,76.32,-68.90,80.23,32.77
60.30,118183.52,126329.84,201.74,305.23,302.61,27.51,289.38,-7.42,388.72,489.29
60.80,104738.27,99007.17,154.58,116.59,188.64,-48.47,397.50,147.34,336.74,393.24
60.90,133379.61,125727.24,159.82,106.11,396.93,75.98,289.38,144.16,383.07,412.45
61.20,150419.36,143898.25,146.72,157.20,188.64,48.47,352.98,125.08,462.17,427.14
61.40,143085.67,152393.61,248.90,189.95,286.89,37.99,316.94,-2.12,475.73,446.35
61.60,128255.41,123033.88,170.30,168.99,70.74,37.99,456.86,50.88,426.01,310.75
61.70,70716.10,21679.19,241.04,1083.37,264.62,2.62,111.30,42.40,16.95,97.18
61.70,194188.55,200008.17,434.92,225.32,558.06,-41.92,531.06,245.92,662.18,892.70
61.80,70889.91,24540.23,255.45,2338.35,268.55,27.51,-79.50,55.12,93.79,158.20
61.90,140422.11,127597.92,124.45,272.48,216.15,1.31,117.66,-43.46,442.96,459.91
61.90,124743.71,118108.28,148.03,116.59,314.40,6.55,316.94,32.86,255.38,303.97
61.90,153408.72,138935.97,129.69,347.15,366.80,-11.79,260.76,-36.04,472.34,526.58
62.00,144877.47,138427.69,272.48,141.48,138.86,20.96,321.18,140.98,372.90,401.15
62.10,148398.25,141328.03,179.47,303.92,217.46,-5.24,212.00,10.60,372.90,450.87
62.40,126310.73,111601.52,204.36,108.73,203.05,14.41,253.34,114.48,378.55,364.99
62.50,157006.86,115772.55,210.91,111.35,201.74,110.04,275.60,64.66,370.64,414.71
62.60,58568.51,18543.05,272.48,1616.54,10261.23,419.20,704.90,24.38,44.07,82.49
62.70,128199.89,115080.88,188.64,318.33,188.64,6.55,332.84,128.26,370.64,433.92
