"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
56.10,129297.35,135895.47,155.89,495.18,267.24,18.34,202.46,63.60,446.35,444.09
56.20,74545.38,26865.48,82.53,171.61,235.80,28.82,72.08,-47.70,99.44,206.79
56.30,65566.41,17229.12,174.23,91.70,31.44,32.75,19.08,59.36,102.83,211.31
57.60,120322.93,157851.06,78.60,218.77,268.55,55.02,315.88,-28.62,410.19,477.99
57.70,83158.53,26672.91,95.63,60.26,51.09,10.48,64.66,-32.86,36.16,120.91
58.00,164049.34,262143.00,1304.76,1155.42,964.16,189.95,401.74,63.60,1571.83,2405.77
58.10,143994.77,114370.85,192.57,203.05,256.76,61.57,204.58,46.64,404.54,411.32
58.50,136521.84,106834.42,231.87,366.80,22.27,41.92,275.60,9.54,381.94,416.97
58.60,52859.17,14754.53,288.20,1438.38,6329.92,341.91,532.12,25.44,37.29,150.29
58.70,152678.89,114381.34,213.53,142.79,138.86,49.78,265.00,67.84,422.62,445.22
59.00,142747.16,121565.38,180.78,121.83,-14.41,136.24,195.04,10.60,294.93,409.06
59.10,117297.18,81781.98,81.22,44.54,170.30,-51.09,61.48,60.42,213.57,228.26
59.50,124420.66,119240.13,121.83,184.71,252.83,11.79,371.00,-24.38,352.56,523.19
59.70,155332.45,145007.83,260.69,179.47,155.89,-1.31,152.64,-43.46,422.62,524.32
59.90,72144.80,17428.24,471.60,1954.52,370.73,30.13,81.62,38.16,187.58,32.77
60.30,32511.57,19539.96,93.01,-39.30,-19.65,18.34,45.58,66.78,66.67,62.15
60.70,57262.66,12213.13,163.75,64.19,22.27,28.82,63.60,24.38,37.29,255.38
61.00,130018.98,123248.73,234.49,132.31,197.81,-41.92,383.72,74.20,472.34,461.04
61.00,129114.45,143438.44,200.43,226.63,205.67,48.47,315.88,13.78,481.38,440.70
61.30,66241.63,19625.11,142.79,69.43,87.77,62.88,-11.66,32.86,99.44,80.23
61.30,99335.60,36866.02,657.62,77.29,134.93,-75.98,45.58,7.42,157.07,254.25
61.90,137247.11,152021.56,182.09,56.33,161.13,3.93,160.06,71.02,423.75,400.02
62.80,145122.25,61046.00,267.24,176.85,2355.38,36.68,390.08,-49.82,192.10,437.31
63.10,142979.20,156638.00,183.40,178.16,305.23,52.40,94.34,66.78,568.39,525.45
63.50,71380.40,19365.73,90.39,91.70,53.71,3.93,5.30,3.18,54.24,160.46
63.70,48924.33,20056.10,167.68,987.74,157.20,0.00,156.88,-64.66,96.05,91.53
63.70,128545.70,99971.34,100.87,-37.99,400.86,-14.41,227.90,78.44,274.59,419.23
64.20,69932.59,21201.04,468.98,1836.62,8474.39,289.51,456.86,148.40,79.10,180.80
64.40,73526.18,24862.49,224.01,78.60,23.58,-9.17,-26.50,5.30,72.32,220.35
64.70,74709.18,23769.95,216.15,85.15,191.26,28.82,23.32,33.92,89.27,262.16
64.80,70931.77,27157.61,175.54,104.80,19.65,57.64,47.70,-2.12,98.31,48.59
64.90,141788.02,138824.63,241.04,974.64,360.25,55.02,204.58,134.62,412.45,506.24
65.00,132313.09,118155.45,179.47,235.80,255.45,64.19,132.50,81.62,271.20,357.08
65.10,127757.63,121628.26,260.69,344.53,183.40,86.46,272.42,19.08,335.61,438.44
65.80,151571.42,186722.16,970.71,833.16,994.29,83.84,315.88,55.12,1151.47,1944.73
66.90,177317.14,123037.81,212.22,166.37,268.55,47.16,212.00,139.92,514.15,491.55
67.10,79514.89,20146.49,647.14,4645.26,859.36,74.67,62.54,37.10,65.54,111.87
67.70,127339.95,130867.69,315.71,1100.40,448.02,-15.72,271.36,34.98,398.89,640.71
67.80,147951.44,141506.19,238.42,246.28,284.27,34.06,202.46,-47.70,558.22,551.44
67.90,59301.97,14823.96,70.74,37.99,55.02,-7.86,-13.78,9.54,37.29,148.03
68.30,72004.66,26169.87,153.27,344.53,159.82,79.91,99.64,96.46,33.90,172.89
68.40,73601.71,24300.50,166.37,131.00,86.46,-11.79,99.64,84.80,152.55,81.36
68.40,136572.80,133234.86,292.13,208.29,78.60,27.51,119.78,-23.32,386.46,473.47
68.50,172328.53,162491.08,322.26,275.10,344.53,32.75,111.30,55.12,508.50,567.26
68.80,153940.16,111397.16,254.14,218.77,241.04,91.70,223.66,53.00,461.04,467.82
69.10,140662.34,151821.14,184.71,166.37,74.67,22.27,442.02,32.86,350.30,491.55
69.90,68214.52,24730.18,136.24,102.18,10.48,-58.95,46.64,-125.08,125.43,166.11
70.10,65085.02,19496.73,977.26,2667.16,9363.88,385.14,604.20,139.92,79.10,240.69
70.20,129049.84,136898.92,282.96,489.94,265.93,6.55,500.32,49.82,465.56,588.73
70.40,53037.53,17408.59,57.64,937.96,6905.01,313.09,655.08,74.20,123.17,63.28
70.50,66617.46,18587.59,93.01,20.96,51.09,-32.75,62.54,-6.36,48.59,176.28
71.10,71135.61,19970.95,657.62,3172.82,8985.29,615.70,550.14,84.80,82.49,210.18
71.40,105736.55,57029.54,121.83,72.05,208.29,17.03,45.58,59.36,187.58,308.49
71.50,51805.39,14086.43,123.14,45.85,-81.22,-9.17,-6.36,21.20,127.69,137.86
71.70,69215.52,16866.25,404.79,2882.00,7871.79,389.07,581.94,64.66,68.93,31.64
71.80,78064.35,20179.24,907.83,2401.23,7554.77,157.20,299.98,293.62,75.71,198.88
72.20,83188.56,22448.16,500.42,1865.44,7696.25,521.38,611.62,14.84,68.93,239.56
72.30,63518.91,18846.97,179.47,3906.42,8721.98,441.47,373.12,159.00,131.08,54.24
72.40,74516.27,24607.04,220.08,43.23,74.67,-11.79,83.74,-59.36,111.87,103.96
72.50,118378.27,64909.19,146.72,611.77,482.08,3.93,163.24,-28.62,213.57,362.73
72.60,144882.02,183094.77,159.82,222.70,395.62,-9.17,417.64,97.52,679.13,789.87
72.70,69818.84,15300.80,189.95,3163.65,1020.49,27.51,-7.42,42.40,124.30,142.38
73.40,138635.78,125666.98,322.26,1347.99,504.35,68.12,324.36,77.38,470.08,415.84
