"Time-","FSC-A-","SSC-A-","FITC-A-IgG","PE-A-IgG2A","PerCP-Cy5-5-A-","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
52.70,103640.77,101664.45,311.85,97.20,125.55,90.45,46.44,18.36,320.16,313.20
52.70,138433.33,221871.16,1250.10,1032.75,1247.40,184.95,894.24,10.80,1209.88,1845.56
52.80,109643.77,120063.60,184.95,143.10,156.60,78.30,105.84,-36.72,313.20,416.44
52.90,117760.92,141417.91,297.00,195.75,234.90,24.30,209.52,62.64,511.56,628.72
53.10,128716.28,162182.25,280.80,240.30,260.55,37.80,265.68,-12.96,468.64,527.80
53.20,140073.69,176904.00,261.90,183.60,145.80,4.05,375.84,-62.64,469.80,531.28
53.40,118576.04,132193.36,213.30,221.40,282.15,9.45,280.80,-49.68,382.80,364.24
53.50,108598.64,149245.20,245.70,175.50,388.80,-48.60,181.44,66.96,526.64,490.68
53.60,179671.41,262143.00,2147.85,2104.65,2035.80,255.15,1078.92,306.72,2020.72,3645.88
53.90,121321.32,115948.80,143.10,118.80,322.65,78.30,103.68,152.28,388.60,412.96
53.90,142444.52,161631.45,267.30,157.95,345.60,-5.40,276.48,12.96,498.80,512.72
54.00,184164.69,262143.00,1408.05,1040.85,1132.65,139.05,545.40,39.96,1509.16,2183.12
54.00,124333.40,145798.66,287.55,141.75,186.30,66.15,57.24,131.76,394.40,448.92
54.00,112922.64,120387.60,180.90,274.05,253.80,2.70,99.36,-19.44,290.00,397.88
54.00,262143.00,69064.65,1030.05,823.50,643.95,81.00,126.36,24.84,425.72,1151.88
54.20,122097.80,75432.60,184.95,229.50,176.85,36.45,220.32,-59.40,183.28,425.72
54.20,142033.28,150367.05,243.00,172.80,206.55,2.70,205.20,54.00,418.76,513.88
54.20,145187.97,165777.30,369.90,183.60,35.10,-9.45,237.60,-21.60,401.36,614.80
54.20,130929.80,144869.86,79.65,152.55,322.65,1.35,382.32,59.40,400.20,577.68
54.40,159446.13,76346.55,338.85,324.00,286.20,28.35,15.12,43.20,323.64,332.92
54.50,113916.24,126943.20,187.65,198.45,201.15,29.70,164.16,-39.96,335.24,332.92
54.50,131618.88,145450.36,267.30,98.55,352.35,9.45,88.56,64.80,505.76,468.64
54.50,90667.84,115377.75,176.85,190.35,240.30,36.45,162.00,-3.24,335.24,425.72
54.60,140759.08,169252.20,305.10,95.85,355.05,12.15,489.24,-7.56,474.44,452.40
