"Time-","FSC-A-","SSC-A-","FITC-A-IgG","PE-A-IgG2A","PerCP-Cy5-5-A-","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
53.40,72773.61,17083.44,157.08,121.44,69.96,-33.00,176.55,57.78,115.26,198.88
53.60,143212.17,145495.69,266.64,180.84,376.20,21.12,444.05,42.80,406.80,653.14
53.60,214059.31,262143.00,505.56,357.72,304.92,91.08,562.82,13.91,917.56,1150.34
53.70,117709.41,114968.05,188.76,69.96,311.52,112.20,286.76,37.45,334.48,357.08
53.70,136716.58,124341.37,165.00,287.76,381.48,73.92,59.92,58.85,462.17,508.50
54.20,136329.83,122914.45,253.44,310.20,199.32,125.40,42.80,144.45,474.60,516.41
54.20,94148.60,31167.84,221.76,88.44,146.52,-6.60,-5.35,8.56,124.30,237.30
54.30,152862.72,130860.84,240.24,147.84,315.48,29.04,129.47,7.49,385.33,492.68
54.40,155151.36,126320.05,293.04,318.12,500.28,133.32,230.05,68.48,462.17,447.48
54.50,177862.23,200741.64,389.40,242.88,413.16,110.88,635.58,3.21,647.49,787.61
54.50,156734.77,156772.45,341.88,307.56,283.80,-9.24,371.29,49.22,513.02,581.95
54.70,143993.86,145734.61,234.96,149.16,550.44,-21.12,260.01,49.22,500.59,545.79
54.80,31497.83,12776.28,153.12,158.40,-55.44,-14.52,49.22,115.56,85.88,149.16
54.90,123060.21,108420.84,208.56,166.32,343.20,6.60,172.27,-131.61,335.61,474.60
55.00,137454.59,107272.45,273.24,241.56,223.08,10.56,180.83,69.55,370.64,446.35
55.20,145445.30,128585.16,192.72,154.44,158.40,9.24,41.73,81.32,392.11,513.02
55.40,158441.02,134534.41,220.44,257.40,168.96,42.24,370.22,-86.67,448.61,510.76
55.90,168335.44,157377.00,345.84,368.28,248.16,93.72,247.17,65.27,477.99,653.14
56.00,78888.81,20725.32,108.24,-11.88,147.84,34.32,101.65,-48.15,63.28,171.76
56.10,170509.44,191732.64,542.52,389.40,469.92,31.68,165.85,-50.29,644.10,657.66
56.30,149547.58,135185.17,141.24,244.20,312.84,0.00,531.79,24.61,473.47,484.77
56.30,128750.45,103395.60,299.64,96.36,194.04,-18.48,145.52,21.40,386.46,509.63
56.50,104721.89,70605.48,323.40,241.56,93.72,-11.88,99.51,104.86,233.91,308.49
56.70,154617.19,143210.77,290.40,260.04,182.16,-39.60,312.44,58.85,519.80,531.10
56.80,165068.55,187280.28,335.28,225.72,315.48,17.16,166.92,53.50,587.60,687.04
57.00,149049.81,118341.96,320.76,163.68,295.68,52.80,333.84,20.33,464.43,430.53
57.00,76258.00,21719.28,130.68,-51.48,-43.56,-3.96,14.98,53.50,68.93,170.63
57.00,144977.56,119742.48,269.28,175.56,228.36,21.12,204.37,101.65,368.38,447.48
57.50,147369.95,118396.09,199.32,163.68,114.84,62.04,72.76,59.92,426.01,477.99
57.60,110348.42,73071.24,114.84,249.48,186.12,-10.56,115.56,-21.40,298.32,385.33
57.60,103649.00,60733.20,229.68,216.48,138.60,44.88,235.40,41.73,273.46,405.67
57.70,166706.55,167419.56,353.76,269.28,529.32,89.76,155.15,33.17,450.87,656.53
57.70,118707.68,126704.16,199.32,306.24,159.72,19.80,185.11,8.56,403.41,536.75
57.90,160052.63,174771.97,330.00,267.96,228.36,-59.40,349.89,-110.21,739.02,832.81
58.10,152033.70,151665.36,212.52,205.92,232.32,71.28,365.94,78.11,482.51,594.38
58.20,75681.06,27821.64,340.56,132.00,118.80,33.00,77.04,101.65,72.32,203.40
58.30,139663.16,130911.01,166.32,216.48,298.32,-11.88,124.12,-32.10,419.23,500.59
58.40,107857.75,80941.09,174.24,262.68,236.28,6.60,46.01,-43.87,350.30,481.38
58.40,75884.90,24711.72,106.92,196.68,196.68,59.40,95.23,-19.26,44.07,119.78
58.60,123868.30,65065.44,425.04,373.56,217.80,62.04,64.20,86.67,449.74,649.75
58.70,151555.05,148213.56,273.24,388.08,443.52,85.80,343.47,153.01,387.59,514.15
58.70,76937.77,22009.68,116.16,-44.88,14.52,60.72,68.48,-13.91,29.38,232.78
58.70,146951.36,124167.13,254.76,157.08,332.64,50.16,189.39,19.26,369.51,456.52
58.80,122369.52,101498.77,190.08,363.00,242.88,19.80,132.68,-41.73,345.78,397.76
58.80,142296.70,125188.80,216.48,208.56,141.24,36.96,223.63,46.01,387.59,513.02
58.80,141870.83,142450.45,237.60,269.28,267.96,52.80,445.12,-6.42,496.07,588.73
58.80,107532.88,105448.20,179.52,155.76,480.48,3.96,278.20,46.01,212.44,442.96
58.80,105372.55,99982.09,145.20,46.20,244.20,23.76,118.77,81.32,235.04,405.67
59.00,144766.44,157185.61,256.08,151.80,516.12,-22.44,235.40,51.36,557.09,612.46
59.10,153924.69,165575.53,307.56,267.96,81.84,102.96,239.68,102.72,509.63,565.00
59.10,161455.84,162136.92,359.04,142.56,365.64,18.48,112.35,98.44,450.87,631.67
59.30,116708.41,141803.64,211.20,132.00,434.28,-27.72,386.27,-34.24,419.23,467.82
59.90,132050.11,109381.80,207.24,157.08,186.12,33.00,293.18,8.56,410.19,442.96
60.20,82375.93,29434.68,273.24,38.28,-17.16,-25.08,117.70,16.05,89.27,188.71
60.30,148688.55,147495.48,256.08,232.32,302.28,35.64,194.74,94.16,489.29,577.43
60.50,111965.49,61216.32,290.40,318.12,228.36,-19.80,78.11,-8.56,279.11,287.02
60.70,128273.60,127391.88,155.76,151.80,241.56,118.80,199.02,13.91,340.13,509.63
60.70,181727.92,195922.33,411.84,318.12,500.28,31.68,333.84,54.57,652.01,746.93
60.80,67270.84,44355.96,162.36,403.92,171.60,63.36,73.83,-23.54,125.43,221.48
61.00,68147.17,20485.08,307.56,106.92,92.40,93.72,44.94,96.30,144.64,179.67
61.20,162758.97,179865.84,308.88,339.24,196.68,-54.12,328.49,38.52,577.43,648.62
61.20,134793.75,108402.37,161.04,256.08,281.16,-63.36,318.86,21.40,306.23,385.33
61.20,122456.88,108090.84,204.60,293.04,120.12,113.52,214.00,69.55,446.35,431.66
61.30,151512.28,149731.56,323.40,145.20,67.32,71.28,369.15,17.12,463.30,561.61
61.50,165234.17,156026.64,274.56,308.88,138.60,-38.28,291.04,-119.84,516.41,499.46
61.60,120223.74,59570.28,291.72,770.88,444.84,-17.16,84.53,84.53,291.54,333.35
61.70,90106.38,32403.36,232.32,196.68,130.68,0.00,-8.56,86.67,214.70,299.45
61.90,81130.14,32798.04,204.60,-38.28,332.64,-39.60,69.55,-18.19,100.57,258.77
62.10,161413.08,150600.13,356.40,153.12,393.36,44.88,332.77,72.76,600.03,569.52
62.10,134639.05,137298.48,204.60,165.00,278.52,-14.52,331.70,33.17,455.39,548.05
62.20,176471.75,262143.00,1780.68,1788.60,2055.24,298.32,1264.74,250.38,2116.49,3314.29
62.30,165802.92,165728.64,406.56,231.00,471.24,51.48,215.07,154.08,566.13,701.73
62.40,117288.99,108911.88,184.80,134.64,310.20,155.76,414.09,-65.27,320.92,299.45
62.70,97590.23,64598.16,228.36,509.52,219.12,15.84,108.07,56.71,266.68,310.75
62.70,78416.52,29038.68,110.88,84.48,27.72,-35.64,51.36,36.38,110.74,211.31
62.70,128340.03,89144.88,324.72,76.56,110.88,92.40,74.90,67.41,238.43,387.59
62.90,160102.67,175550.77,273.24,187.44,538.56,46.20,250.38,79.18,484.77,683.65
63.00,134828.33,124644.97,161.04,265.32,143.88,92.40,203.30,31.03,448.61,569.52
63.00,164117.59,201674.89,330.00,315.48,448.80,96.36,749.00,87.74,649.75,755.97
63.00,153031.06,198232.33,410.52,368.28,485.76,58.08,593.85,66.34,624.89,789.87
63.40,134086.69,123355.33,228.36,211.20,417.12,-13.20,219.35,125.19,348.04,398.89
63.80,58775.08,19130.76,106.92,43.56,118.80,22.44,-21.40,-71.69,61.02,70.06
63.90,141393.98,117594.84,246.84,250.80,183.48,99.00,142.31,-23.54,457.65,465.56
63.90,106116.92,74692.20,219.12,477.84,83.16,60.72,126.26,46.01,331.09,384.20
63.90,92147.52,76068.96,223.08,135.96,93.72,-7.92,117.70,-3.21,254.25,428.27
64.00,144817.41,158500.33,275.88,158.40,327.36,-40.92,181.90,112.35,517.54,593.25
64.20,101524.16,69457.09,310.20,297.00,-23.76,54.12,174.41,58.85,213.57,335.61
64.20,74386.13,23890.68,175.56,121.44,-14.52,13.20,115.56,88.81,166.11,226.00
64.40,183935.58,262143.00,1611.72,1275.12,1584.00,223.08,698.71,169.06,1739.07,2763.98
64.40,145048.55,139262.64,340.56,175.56,308.88,36.96,82.39,-79.18,514.15,539.01
64.40,149876.09,156863.53,326.04,209.88,355.08,34.32,262.15,75.97,620.37,720.94
64.50,146160.56,151629.72,158.40,118.80,258.72,76.56,308.16,29.96,534.49,485.90
64.50,129721.41,120452.65,262.68,291.72,269.28,14.52,214.00,39.59,454.26,490.42
64.60,120331.13,108724.45,175.56,252.12,366.96,51.48,434.42,31.03,384.20,398.89
65.00,76207.95,21077.76,95.04,72.60,-14.52,-21.12,73.83,-28.89,172.89,238.43
65.10,130859.82,123359.28,261.36,250.80,297.00,19.80,191.53,55.64,325.44,493.81
65.10,130029.91,121502.05,137.28,224.40,43.56,85.80,246.10,63.13,366.12,536.75
65.30,67926.04,24207.48,154.44,134.64,-11.88,36.96,6.42,-6.42,108.48,181.93
65.50,128875.12,125475.24,232.32,186.12,207.24,19.80,160.50,20.33,398.89,416.97
65.60,83954.78,23932.92,100.32,97.68,-54.12,-7.92,81.32,11.77,122.04,161.59
65.70,111453.16,131369.05,186.12,154.44,236.28,-5.28,72.76,-22.47,414.71,477.99
65.80,167521.91,170336.77,233.64,188.76,212.52,34.32,241.82,-85.60,668.96,590.99
65.90,133057.47,135248.53,267.96,101.64,122.76,71.28,274.99,-12.84,431.66,414.71
65.90,102175.71,71460.84,231.00,167.64,134.64,9.24,-3.21,-71.69,324.31,404.54
65.90,64502.62,19497.72,201.96,134.64,75.24,29.04,27.82,13.91,68.93,142.38
66.00,114836.55,143412.72,238.92,228.36,327.36,30.36,202.23,18.19,506.24,522.06
66.00,120300.18,118483.20,100.32,116.16,122.76,44.88,130.54,3.21,410.19,395.50
66.00,85208.77,22523.16,166.32,-14.52,166.32,-15.84,53.50,36.38,125.43,135.60
66.10,77499.24,27989.28,143.88,183.48,72.60,-60.72,19.26,93.09,133.34,126.56
66.10,149472.97,148593.72,261.36,245.52,248.16,23.76,333.84,44.94,536.75,702.86
66.10,140984.48,130870.09,380.16,382.80,55.44,59.40,437.63,180.83,441.83,524.32
66.20,147904.13,155535.61,359.04,84.48,279.84,-22.44,306.02,-55.64,524.32,461.04
66.50,153270.39,148569.97,253.44,229.68,289.08,15.84,280.34,199.02,464.43,501.72
66.70,103719.07,55441.32,213.84,394.68,294.36,101.64,149.80,74.90,219.22,502.85
66.90,159985.28,163365.84,414.48,231.00,473.88,-15.84,68.48,16.05,533.36,733.37
67.00,41112.89,46256.76,5.28,54.12,25.08,-11.88,201.16,52.43,103.96,108.48
67.20,126341.67,115412.88,201.96,182.16,122.76,46.20,313.51,95.23,386.46,456.52
67.40,84286.02,21698.16,154.44,223.08,-19.80,-11.88,87.74,25.68,102.83,175.15
67.60,137606.56,132946.44,352.44,450.12,479.16,149.16,97.37,-32.10,398.89,507.37
67.70,147894.11,140166.84,385.44,252.12,135.96,19.80,163.71,89.88,303.97,647.49
67.90,92452.36,68798.41,175.56,432.96,172.92,-13.20,138.03,5.35,261.03,352.56
68.20,79405.70,33883.08,331.32,84.48,40.92,69.96,60.99,89.88,97.18,229.39
68.40,86739.38,25833.72,307.56,180.84,47.52,40.92,-20.33,35.31,50.85,179.67
68.40,170973.53,223947.25,421.08,266.64,172.92,62.04,118.77,83.46,768.40,883.66
68.50,93908.36,20259.36,43.56,19.80,31.68,-27.72,5.35,-28.89,32.77,97.18
68.60,165830.22,145978.81,431.64,279.84,290.40,27.72,293.18,47.08,519.80,679.13
68.80,146435.39,125681.16,162.36,190.08,286.44,2.64,278.20,111.28,336.74,522.06
69.10,54886.65,14138.52,85.80,116.16,11.88,10.56,37.45,32.10,83.62,107.35
69.10,170290.13,175227.36,352.44,343.20,561.00,7.92,77.04,108.07,574.04,668.96
69.20,158449.20,159677.77,344.52,279.84,248.16,-6.60,302.81,108.07,528.84,671.22
69.30,111285.73,115063.09,316.80,254.76,249.48,-5.28,182.97,7.49,315.27,455.39
69.30,148272.67,142395.00,209.88,128.04,179.52,30.36,359.52,27.82,511.89,501.72
69.40,76234.34,20931.24,223.08,139.92,71.28,5.28,117.70,8.56,76.84,242.95
69.40,78852.41,22829.40,163.68,3.96,96.36,56.76,36.38,-4.28,128.82,96.05
69.40,170037.14,144274.69,304.92,179.52,399.96,-17.16,306.02,28.89,548.05,508.50
69.50,113149.41,110022.01,244.20,109.56,51.48,26.40,228.98,10.70,298.32,412.45
69.60,143042.91,166417.69,95.04,208.56,213.84,9.24,465.45,-101.65,444.09,516.41
69.70,159198.14,150069.48,344.52,320.76,374.88,25.08,269.64,-101.65,422.62,560.48
69.80,153285.86,160765.45,312.84,200.64,302.28,52.80,170.13,107.00,622.63,620.37
69.90,31323.11,24962.52,100.32,36.96,147.84,-23.76,1.07,1.07,65.54,51.98
69.90,132256.67,119980.09,278.52,224.40,220.44,3.96,166.92,80.25,421.49,458.78
70.00,115952.20,105885.13,204.60,194.04,322.08,137.28,226.84,162.64,337.87,471.21
70.10,127027.81,111079.33,295.68,155.76,249.48,31.68,291.04,116.63,442.96,515.28
70.20,162790.81,174815.53,258.72,203.28,442.20,143.88,224.70,67.41,470.08,653.14
70.30,127202.53,117379.69,204.60,204.60,151.80,69.96,205.44,68.48,479.12,472.34
70.60,60970.00,25017.96,203.28,146.52,54.12,33.00,34.24,-72.76,143.51,203.40
70.60,72933.77,19905.60,135.96,84.48,-51.48,2.64,42.80,-54.57,58.76,176.28
70.60,35191.52,20227.68,66.00,11.88,-55.44,6.60,60.99,-22.47,38.42,98.31
70.70,164574.42,177239.05,378.84,262.68,326.04,71.28,283.55,13.91,610.20,758.23
70.80,153495.17,143853.61,332.64,195.36,128.04,149.16,254.66,-5.35,462.17,515.28
70.90,145828.42,136854.97,198.00,138.60,186.12,50.16,172.27,72.76,404.54,476.86
70.90,165884.81,249450.97,1004.52,935.88,1485.00,241.56,817.48,85.60,1420.41,2049.82
71.00,131783.47,120263.88,155.76,138.60,331.32,89.76,158.36,111.28,384.20,549.18
71.00,147083.30,128111.28,154.44,287.76,196.68,1.32,185.11,64.20,385.33,503.98
71.10,143972.02,126090.37,180.84,55.44,290.40,26.40,265.36,27.82,431.66,481.38
71.40,164208.59,168531.00,323.40,180.84,432.96,124.08,219.35,180.83,400.02,647.49
71.40,150887.11,169967.17,352.44,157.08,244.20,6.60,355.24,174.41,552.57,699.47
71.60,173460.56,171965.64,335.28,221.76,555.72,213.84,181.90,177.62,633.93,627.15
71.60,123605.30,105753.13,234.96,105.60,219.12,50.16,201.16,-16.05,414.71,350.30
71.60,144705.47,129815.41,308.88,253.44,97.68,38.28,252.52,48.15,448.61,609.07
71.70,174871.06,149348.77,413.16,359.04,469.92,58.08,340.26,47.08,593.25,689.30
71.70,151977.28,143865.48,257.40,54.12,278.52,7.92,295.32,56.71,503.98,519.80
71.80,169590.33,262143.00,1449.36,1275.12,1553.64,-64.68,823.90,223.63,1784.27,2762.85
71.80,162506.89,174296.77,278.52,318.12,306.24,23.76,187.25,68.48,570.65,635.06
71.90,141604.19,135776.53,153.12,151.80,294.36,19.80,153.01,-52.43,381.94,480.25
72.00,119968.95,72956.41,287.76,508.20,133.32,71.28,164.78,48.15,414.71,454.26
72.00,148599.36,144825.13,286.44,188.76,191.40,-30.36,196.88,0.00,472.34,519.80
72.10,153608.00,161236.69,281.16,364.32,260.04,99.00,228.98,-97.37,473.47,581.95
72.10,157800.38,159799.20,285.12,240.24,393.36,22.44,391.62,56.71,633.93,666.70
72.20,104862.03,30429.96,229.68,109.56,150.48,113.52,77.04,71.69,242.95,280.24
72.20,161565.95,133058.64,306.24,314.16,374.88,118.80,125.19,124.12,442.96,537.88
72.30,137269.86,127838.05,279.84,258.72,121.44,67.32,226.84,4.28,464.43,503.98
72.30,114934.82,103617.37,166.32,194.04,138.60,39.60,129.47,7.49,301.71,366.12
72.40,158637.58,144574.33,356.40,149.16,394.68,62.04,630.23,-58.85,454.26,568.39
72.60,130426.66,117454.92,100.32,277.20,238.92,14.52,234.33,-50.29,405.67,488.16
72.70,80702.45,26282.52,238.92,112.20,92.40,-26.40,7.49,19.26,74.58,170.63
73.00,129144.48,117507.73,170.28,122.76,192.72,7.92,134.82,-39.59,376.29,394.37
73.00,155836.59,194414.89,339.24,326.04,370.92,46.20,421.58,-63.13,622.63,734.50
73.10,121380.35,109711.80,158.40,101.64,162.36,71.28,92.02,-57.78,415.84,412.45
73.20,79111.77,25578.96,158.40,212.52,56.76,40.92,39.59,-26.75,88.14,174.02
73.60,77836.85,19439.64,67.32,44.88,-9.24,34.32,84.53,-108.07,14.69,114.13
73.70,161493.16,138372.97,336.60,267.96,192.72,108.24,57.78,34.24,496.07,489.29
73.80,80508.61,25786.20,154.44,73.92,79.20,27.72,3.21,44.94,32.77,207.92
73.80,145983.11,139388.05,211.20,170.28,336.60,6.60,328.49,32.10,438.44,570.65
73.80,106906.80,127283.65,281.16,233.64,215.16,-29.04,217.21,86.67,501.72,500.59
73.90,104618.16,89468.28,145.20,201.96,179.52,43.56,124.12,-75.97,355.95,411.32
74.00,110342.05,64669.44,151.80,133.32,285.12,-9.24,232.19,-57.78,179.67,404.54
74.10,152725.30,164089.20,369.60,278.52,352.44,31.68,254.66,6.42,448.61,585.34
74.10,69259.20,130740.73,341.88,245.52,303.60,105.60,455.82,125.19,344.65,473.47
74.10,68902.47,25899.72,97.68,72.60,72.60,-35.64,70.62,-140.17,-2.26,135.60
74.20,132151.11,106642.80,265.32,216.48,286.44,143.88,304.95,124.12,424.88,410.19
74.20,102455.99,67063.92,229.68,357.72,248.16,55.44,81.32,-37.45,317.53,455.39
74.30,111207.46,107907.37,139.92,55.44,351.12,14.52,171.20,3.21,427.14,334.48
74.60,162170.19,165314.17,294.36,345.84,215.16,124.08,445.12,-42.80,511.89,698.34
74.70,135255.13,116364.60,236.28,256.08,278.52,59.40,548.91,-14.98,344.65,426.01
74.80,140500.36,183707.05,1042.80,605.88,1042.80,125.40,574.59,103.79,910.78,1682.57
74.90,124067.59,131206.69,207.24,184.80,294.36,9.24,236.47,-6.42,437.31,571.78
75.00,127900.50,115493.41,199.32,155.76,186.12,27.72,169.06,46.01,324.31,440.70
75.00,118988.88,112485.13,217.80,126.72,223.08,6.60,207.58,-17.12,381.94,427.14
75.00,147801.30,139588.69,220.44,109.56,102.96,89.76,94.16,59.92,371.77,603.42
75.70,122120.18,67280.41,166.32,208.56,124.08,14.52,85.60,-14.98,324.31,364.99
75.70,119121.73,124239.73,72.60,236.28,304.92,17.16,180.83,-72.76,350.30,467.82
75.90,90289.29,110449.69,157.08,191.40,138.60,10.56,142.31,-31.03,329.96,430.53
75.90,160165.47,245192.66,1073.16,856.68,1052.04,246.84,498.62,232.19,1384.25,1994.45
76.00,161574.14,156326.28,468.60,381.48,462.00,72.60,276.06,8.56,437.31,629.41
76.00,135969.47,130089.97,269.28,209.88,227.04,132.00,175.48,-6.42,431.66,456.52
76.20,122713.50,117028.56,165.00,68.64,102.96,76.56,237.54,-113.42,402.28,428.27
76.60,160224.61,262143.00,1506.12,1333.20,1314.72,172.92,942.67,316.72,1746.98,2935.74
76.60,89969.88,31793.52,564.96,269.28,246.84,15.84,252.52,20.33,96.05,266.68
76.90,149606.73,138438.97,364.32,220.44,228.36,13.20,346.68,22.47,488.16,732.24
77.10,98243.60,56815.44,207.24,170.28,85.80,2.64,164.78,-105.93,280.24,358.21
77.10,144568.06,128022.84,393.36,299.64,374.88,95.04,189.39,27.82,457.65,560.48
77.10,89796.98,21080.40,253.44,21.12,157.08,-42.24,102.72,-64.20,117.52,213.57
77.20,142453.22,143481.36,364.32,316.80,380.16,2.64,243.96,33.17,515.28,572.91
77.30,158108.86,140151.00,182.16,122.76,158.40,13.20,293.18,-82.39,537.88,481.38
77.30,140210.08,129035.28,212.52,306.24,264.00,72.60,220.42,-38.52,370.64,635.06
77.40,80374.84,25239.72,205.92,-15.84,-113.52,38.28,111.28,11.77,111.87,169.50
77.40,133743.61,130091.29,180.84,227.04,195.36,62.04,241.82,99.51,364.99,589.86
77.50,88717.72,28793.16,64.68,26.40,22.44,-3.96,52.43,-79.18,101.70,196.62
77.60,99229.13,75036.73,158.40,167.64,101.64,-10.56,10.70,-2.14,326.57,319.79
77.60,83089.38,28240.08,154.44,99.00,-42.24,-26.40,13.91,65.27,87.01,162.72
77.60,148118.89,122843.16,229.68,374.88,396.00,88.44,154.08,35.31,385.33,626.02
77.90,85101.38,27095.64,221.76,203.28,88.44,-17.16,-22.47,32.10,153.68,194.36
78.00,149010.69,165426.36,262.68,315.48,134.64,-1.32,410.88,19.26,524.32,596.64
78.00,182004.56,197391.48,439.56,422.40,229.68,-1.32,348.82,29.96,682.52,755.97
78.00,161951.80,137879.28,258.72,227.04,187.44,-22.44,141.24,83.46,370.64,532.23
78.20,130950.82,100469.16,242.88,62.04,165.00,79.20,128.40,-37.45,352.56,379.68
78.30,166599.17,167484.25,279.84,315.48,282.48,55.44,212.93,-25.68,511.89,845.24
78.40,155740.14,262143.00,1693.56,1337.16,1483.68,83.16,747.93,69.55,1475.78,2762.85
78.40,135951.28,126362.28,182.16,137.28,587.40,72.60,182.97,-5.35,376.29,479.12
78.50,109148.13,120199.20,244.20,199.32,273.24,19.80,217.21,11.77,456.52,448.61
78.70,141116.44,116404.20,279.84,278.52,271.92,9.24,210.79,9.63,369.51,542.40
79.00,140402.08,149393.64,332.64,153.12,184.80,116.16,446.19,216.14,397.76,544.66
79.00,157288.95,154653.84,297.00,274.56,183.48,44.88,246.10,-34.24,488.16,598.90
79.00,153799.11,151257.48,228.36,216.48,51.48,85.80,295.32,60.99,574.04,559.35
79.10,67052.45,28339.08,126.72,135.96,51.48,-33.00,49.22,16.05,124.30,251.99
79.50,33962.11,20986.68,96.36,13.20,-39.60,-9.24,60.99,-34.24,79.10,140.12
79.70,124957.56,116043.84,196.68,83.16,244.20,-7.92,192.60,93.09,355.95,511.89
80.00,125540.88,116600.88,191.40,217.80,264.00,64.68,261.08,130.54,353.69,409.06
80.10,122606.13,70577.77,248.16,372.24,285.12,64.68,283.55,41.73,290.41,406.80
80.20,136949.55,121737.01,130.68,211.20,154.44,36.96,257.87,17.12,448.61,377.42
80.30,157673.89,119490.37,117.48,75.24,221.76,15.84,180.83,-124.12,454.26,431.66
80.50,152036.44,158716.81,191.40,300.96,274.56,6.60,95.23,48.15,527.71,567.26
80.60,82587.96,27717.36,331.32,314.16,153.12,146.52,147.66,66.34,125.43,216.96
80.70,110701.50,85662.73,298.32,402.60,122.76,26.40,179.76,-5.35,406.80,471.21
80.70,68530.28,20243.52,245.52,196.68,71.28,-35.64,8.56,-57.78,89.27,219.22
80.80,119069.87,74046.73,227.04,209.88,129.36,1.32,129.47,173.34,326.57,452.00
80.90,108633.98,91808.64,175.56,158.40,212.52,71.28,142.31,-52.43,390.98,351.43
81.10,82509.70,26126.76,286.44,48.84,104.28,11.88,74.90,17.12,84.75,230.52
81.10,108931.55,68007.73,183.48,179.52,176.88,117.48,136.96,-55.64,315.27,346.91
81.10,132237.56,143150.05,307.56,132.00,203.28,11.88,18.19,136.96,503.98,588.73
81.20,163810.92,157012.69,237.60,285.12,287.76,84.48,396.97,-32.10,493.81,598.90
81.30,143868.28,141826.08,114.84,229.68,141.24,105.60,500.76,-99.51,520.93,462.17
