"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
51.90,139390.16,124811.28,166.32,13.20,262.68,89.76,246.10,73.83,401.15,361.60
52.00,70454.02,19777.56,293.04,4889.28,9826.08,733.92,878.47,206.51,77.97,293.80
52.20,126800.31,135297.36,99.00,417.12,455.40,35.64,216.14,29.96,367.25,442.96
52.50,149915.22,175608.84,262.68,636.24,612.48,-30.36,189.39,-42.80,523.19,468.95
52.60,119735.98,142883.41,4090.68,3729.00,794.64,101.64,187.25,105.93,414.71,529.97
52.80,61647.04,12768.36,315.48,4349.40,11109.12,521.40,1087.12,153.01,27.12,70.06
53.00,139563.06,135264.36,349.80,753.72,377.52,62.04,309.23,-14.98,344.65,484.77
53.30,135205.98,149202.25,233.64,291.72,225.72,48.84,146.59,54.57,430.53,401.15
53.70,146261.58,165661.33,344.52,658.68,132.00,-19.80,494.34,57.78,458.78,497.20
53.90,112593.39,111553.20,167.64,117.48,75.24,-15.84,71.69,74.90,407.93,340.13
54.80,117754.91,96540.84,349.80,348.48,522.72,102.96,179.76,25.68,328.83,482.51
55.00,70469.49,19400.04,132.00,1000.56,8742.36,462.00,433.35,112.35,118.65,166.11
55.20,138972.47,156092.64,365.64,774.84,495.00,-1.32,201.16,79.18,494.94,548.05
55.20,122162.95,154479.61,212.52,483.12,191.40,64.68,134.82,82.39,388.72,372.90
55.30,159510.27,179942.41,310.20,777.48,525.36,99.00,99.51,132.68,679.13,663.31
55.30,79476.67,67399.20,231.00,620.40,1668.48,179.52,172.27,109.14,282.50,447.48
55.40,185661.84,262143.00,988.68,957.00,1432.20,204.60,431.21,2.14,1513.07,2044.17
55.70,73454.29,20964.24,326.04,-106.92,77.88,-25.08,41.73,48.15,133.34,236.17
55.90,125342.49,35465.76,299.64,5287.92,1203.84,129.36,47.08,-8.56,37.29,207.92
55.90,130906.23,132797.28,287.76,117.48,359.04,83.16,161.57,-70.62,427.14,424.88
56.00,60721.57,12144.00,228.36,3754.08,1386.00,97.68,-36.38,132.68,80.23,115.26
56.20,139337.39,109120.45,209.88,359.04,-40.92,59.40,95.23,70.62,392.11,370.64
56.50,117730.34,109218.13,191.40,269.28,225.72,26.40,145.52,-37.45,349.17,323.18
56.60,154335.09,158638.92,174.24,588.72,17.16,93.72,207.58,187.25,496.07,505.11
56.60,155012.14,130034.52,267.96,642.84,366.96,7.92,254.66,12.84,482.51,432.79
56.70,143670.80,122204.28,369.60,1013.76,678.48,44.88,362.73,28.89,413.58,438.44
56.80,142349.48,116674.80,314.16,366.96,149.16,23.76,147.66,-40.66,455.39,503.98
57.10,120082.70,132840.84,295.68,168.96,320.76,50.16,69.55,96.30,410.19,341.26
57.20,148472.88,170694.48,398.64,382.80,266.64,22.44,265.36,121.98,519.80,581.95
57.30,129529.41,138848.17,273.24,286.44,-2.64,35.64,162.64,36.38,437.31,534.49
57.50,118098.89,101420.88,162.36,303.60,183.48,93.72,112.35,37.45,340.13,363.86
57.60,166465.39,173688.25,146.52,112.20,361.68,-9.24,418.37,-43.87,590.99,615.85
57.60,102111.10,44696.52,352.44,1008.48,1453.32,139.92,273.92,54.57,195.49,329.96
57.90,34342.49,14160.96,254.76,11127.60,2187.24,339.24,97.37,80.25,71.19,91.53
58.60,77453.74,23987.04,558.36,10713.12,11175.12,477.84,1044.32,165.85,29.38,164.98
58.70,68599.45,26330.04,250.80,256.08,153.12,6.60,4.28,34.24,187.58,313.01
58.80,181749.75,168680.17,429.00,1277.76,685.08,59.40,321.00,-47.08,519.80,637.32
58.90,155814.75,175098.00,442.20,409.20,104.28,79.20,411.95,-19.26,519.80,641.84
59.00,42728.14,23771.88,5.28,192.72,95.04,25.08,66.34,29.96,128.82,117.52
59.10,57053.36,18495.84,683.76,3104.64,7769.52,373.56,857.07,21.40,99.44,226.00
59.20,152596.08,178801.92,347.16,1684.32,794.64,67.32,371.29,110.21,552.57,544.66
59.20,59637.76,13870.56,389.40,2925.12,10445.16,442.20,1099.96,326.35,71.19,146.90
59.30,109656.82,51891.84,241.56,228.36,871.20,172.92,230.05,70.62,172.89,340.13
59.60,154318.72,140978.64,270.60,498.96,-56.76,81.84,60.99,27.82,474.60,488.16
59.80,107590.21,35522.52,227.04,85.80,1184.04,91.08,248.24,-33.17,159.33,360.47
59.80,131780.75,98836.32,143.88,401.28,333.96,19.80,139.10,6.42,364.99,423.75
60.30,142925.52,180479.64,462.00,455.40,410.52,46.20,220.42,86.67,576.30,527.71
60.40,120277.43,113205.84,134.64,805.20,484.44,-21.12,199.02,26.75,415.84,377.42
60.50,161190.13,182117.77,483.12,879.12,638.88,-23.76,457.96,22.47,533.36,575.17
60.50,129224.55,108469.69,295.68,240.24,217.80,-5.28,7.49,27.82,363.86,309.62
60.70,142925.52,144380.28,530.64,537.24,665.28,153.12,468.66,-28.89,709.64,1140.17
60.70,66395.42,21787.92,101.64,212.52,162.36,-13.20,-53.50,26.75,111.87,42.94
60.80,162181.11,156284.05,396.00,504.24,219.12,21.12,251.45,74.90,517.54,471.21
60.80,148018.78,157210.69,178.20,116.16,256.08,-15.84,195.81,51.36,410.19,559.35
60.80,68222.70,21146.40,182.16,1322.64,8499.48,432.96,1005.80,95.23,23.73,290.41
60.90,129336.48,99184.80,231.00,665.28,265.32,-30.36,208.65,43.87,339.00,342.39
61.70,163419.63,161109.97,95.04,320.76,-6.60,-1.32,418.37,-34.24,428.27,519.80
61.80,142180.22,169691.28,191.40,335.28,403.92,-19.80,360.59,-8.56,462.17,449.74
62.00,134972.11,139298.28,79.20,26.40,209.88,11.88,172.27,-46.01,396.63,507.37
62.10,115834.81,119114.16,200.64,290.40,1.32,154.44,219.35,42.80,360.47,316.40
62.30,126118.73,107473.09,249.48,125.40,66.00,-9.24,126.26,64.20,305.10,381.94
62.70,150396.61,150297.84,330.00,157.08,271.92,48.84,281.41,101.65,411.32,497.20
62.70,57267.21,15263.16,104.28,2934.36,6739.92,312.84,629.16,130.54,0.00,135.60
